text,label
"Hi Kate, I just changed deal  from Monday through Friday to Monday through Saturday.  This deal was manually entered by us because it failed the EOL bridge.  When we manually entered it the wrong days were chosen.  I have fixed it and we will send a revised confirm to the counterparty.  I am not sure if you normally tell risk when you make a change.  Thanks,Melissa",Formal
"Ted, please take a quick look at the outline of discussion notes for Friday.Vince",Neutral
Congratulations on your new adventure.  I'll miss having you as a neighbor and a colleague.Kay,Informal
"Cindy needed the money to pay for her new fully furnished house in the Woodlands.  not to mention the  acres she just bought across the road from her house in Aspen.  I only need enough to pay off my measley mortgage,  I have cashed in on most of my options though.",Informal
"Chip is assigned to North America primarily but we asked him to get up to speed on the India situation in case a new deal should arise there that requires RAC input. He is a sharp guy with lots of project finance experience and also worked in London for Eastern.  If you don't want him involved and a transaction arises it will be difficult to get someone up to speed quickly, given the complexities. Rick",Informal
"I've just looked at some beautiful photoshand colored done by our projectmanager's wifeshe is a professional photographer.  How would you all feelabout having a really good, artistic picture done of the three of us for agift to Mom and Dad?  Let me knowwe could do it while Sally is here forthe shower....Cindy",Informal
"Please see the attached memo.  We will not be needing you to participate in the dinner Friday, December th.  Thanks so much for volunteering!!!",Informal
"With Enron's rapid growth we need to maintain an ability to move employees between operating companies and new ventures.  To do this it is essential to have one process that will enable us to collect , update and retain employee data.  In the spirit of One Enron, and building on the success of the yearend Global VP/MD Performance Review Process, the  Enron VP/MD PRC requests that all Enron Vice Presidents and Managing Directors update their profiles. Current responsibilities, employment history, skills and education need to be completed  via the HR Global Information System.  HRGIS is accessible via the HRWEB home page on the intranet.  Just go to hrweb.enron.com and look for the HRGIS link.  Or just type eglobal.enron.com on the command line of your browser.The target date by which to update these profiles is  July.  If you would like to have a hard copy of a template that could be filled out and returned for input, or If you need any assistance with the HRGIS application please contact Kathy Schultea at x.  Your  timely response to this request is greatly appreciated.",Very Formal
"Broker is right  deal has been changed.By the way, I checked out audit viewer on deal , and it showed that I had changed the deal from Amerex to APB yesterday afternoon. It didn't show any other changed after that  so I've put a call into Duong Luu to figure out why the change didn't save, or why it defaulted back. Just FYI.Thanks",Formal
I just spoke to Marshall who advised that June  is the earliest date on which KCS can close.  Our target date is June .Teresa,Neutral
